	AS MFQ AQ	AS MFQ LUM	AS MFQ PQP	AS MFQ PYR	AS PYR AQ	AS PYR LUM	AS PYR MFQ	AS PYR PQP	ATM LUM AQ	ATM LUM MFQ	ATM LUM PQP	ATM LUM PYR	DHA PQP AQ	DHA PQP LUM	DHA PQP MFQ	DHA PQP PYR
918_1_1	1194.982	1729.273	1365.229	1302.426	1987.416	2223.482	2484.3	1857.323	1095.715	1326.812	1124.637	1358.652	1103.218	1212.348	1292.424	1297.465
918_1_2	1219.598	1684.264	1300.773	1279.172	1802.189	1862.154	2261.329	1956.608	1076.508	1210.959	1072.406	1175.806	1027.589	1234.295	1222.274	1289.369
918_1_3	1152.677	1501.482	1261.176	1234.216	1739.052	1657.428	2076.662	1827.559	1050.838	1100.898	1043.563	1124.425	985.4473	1097.428	1133.208	1207.738
918_1_4	1206.363	1257.555	1179.903	1091.241	1762.513	1369.17	1877.854	1564.068	965.2868	962.2919	895.4606	1090.463	1127.167	1032.49	1101.869	1232.352
918_1_5	1372.979	941.5361	1206.086	1127.401	1513.359	871.2004	1547.459	1338.801	912.6779	844.2892	843.1609	1356.305	1041.985	766.6619	967.0301	1114.513
918_1_6	1434.59	543.9633	1131.043	1066.599	902.6525	350.5676	1254.892	984.3441	690.2316	560.2334	714.8849	847.2717	562.9805	471.3129	739.906	943.0569
918_1_7	259.8717	201.5139	602.2125	924.0344	240.5717	125.2186	568.9428	81.93593	114.1464	243.1156	245.0084	358.4815	166.3093	81.24566	445.5772	462.2589
918_1_8	-21.5246	-33.17643	44.66533	264.7034	91.5082	-54.10786	158.9128	59.12341	-20.34107	3.501915	-49.94572	37.96794	41.6963	-42.78347	18.0385	20.08922
918_1_9	-62.05713	-56.09288	5.765776	-46.80005	65.74532	-89.10822	-38.98281	-164.111	-71.44721	-11.81479	-65.19385	-29.386	-46.37122	-65.39391	-80.66193	-39.96331
918_1_10	-71.0351	-42.40423	22.65479	-65.86409	75.04558	-109.6769	-66.87493	-125.686	-73.83273	-8.535119	-41.05419	-89.54742	-57.43364	-50.72284	-93.87868	-7.839788
